junction	orig_count	orig_posterior	swapped_count	swapped_posterior	total_reads
chr2|CALCRL:188243667|CALCRL:188250358|rev|-	1	0.892858972547	0	0	1
chr4|NUP54:77045802|NUP54:77065626|rev|-	1	0.82193024309	0	0	1
chr5|EMB:49698120|EMB:49707217|rev|-	0	0.0	2	3.02909158413e-10	2
chr5|ARHGAP26:142311690|ARHGAP26:142264863|rev|+	0	0.0	1	0.907248075562	1
chr2|FN1:216251412|FN1:216256537|rev|-	1	0.867951702652	0	0	1
chr1|RPAP2:92811471|RPAP2:92798948|rev|+	1	0.880912337711	0	0	1
chr13|DNAJC3:96377506|DNAJC3:96375496|rev|+	0	0.0	1	0.621335309796	1
chr5|FAM114A2:153413351|FAM114A2:153414527|rev|-	0	0.0	1	0.895622067744	1
chr1|LPGAT1:211952260|LPGAT1:211966532|rev|-	1	0.805838523782	0	0	1
chr3|RBM5:50145737|RBM5:50145503|rev|+	1	0.890738336758	0	0	1
chr12|CLIP1:122825300|CLIP1:122837333|rev|-	0	0.0	1	0.883093983492	1
chr3|RBM6:50000118|ARIH2:49020632|rev|+	0	0.0	1	5.04132405564e-05	1
chr15|TTBK2:43102812|TTBK2:43132631|rev|-	0	0.0	1	0.900486300659	1
chr11|PPP6R3:68343511|PPP6R3:68334482|rev|+	1	0.456089567212	0	0	1
